symbol,timeframe,strategy_name,fold,train_start,train_end,test_start,test_end,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,33,2026-03-15 21:55:00+00:00,2026-04-02 06:30:00+00:00,2026-04-02 06:35:00+00:00,2026-04-05 17:50:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,6,5,7.793339477428503,1.5586678954857007,40.0,14.432172074105097,6.638832596676593,2.1739020925651684,10007.793339477428,0.07793339477428161,0,0,5
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,33,2026-03-15 21:55:00+00:00,2026-04-02 06:30:00+00:00,2026-04-02 06:35:00+00:00,2026-04-05 17:50:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,4,4,0.23516257818630493,0.05879064454657623,50.0,5.741476619274863,5.506314041088558,1.0427078035200141,10000.235162578187,0.00235162578186646,0,0,4
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,33,2026-03-15 21:55:00+00:00,2026-04-02 06:30:00+00:00,2026-04-02 06:35:00+00:00,2026-04-05 17:50:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,12,8,-14.547148328424669,-1.8183935410530836,37.5,12.687574593726708,27.234722922151377,0.4658602413541451,9985.452851671573,-0.14547148328427284,0,4,4
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,34,2026-03-19 09:15:00+00:00,2026-04-05 17:50:00+00:00,2026-04-05 17:55:00+00:00,2026-04-09 05:10:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,11,9,-55.02901365945172,-6.114334851050192,22.22222222222222,25.059856502580374,80.0888701620321,0.3129006121809489,9944.970986340548,-0.5502901365945218,1,4,4
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,34,2026-03-19 09:15:00+00:00,2026-04-05 17:50:00+00:00,2026-04-05 17:55:00+00:00,2026-04-09 05:10:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,11,9,-55.02901365945172,-6.114334851050192,22.22222222222222,25.059856502580374,80.0888701620321,0.3129006121809489,9944.970986340548,-0.5502901365945218,1,4,4
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,34,2026-03-19 09:15:00+00:00,2026-04-05 17:50:00+00:00,2026-04-05 17:55:00+00:00,2026-04-09 05:10:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,6,6,-10.248007259226483,-1.7080012098710806,33.33333333333333,35.78126578043236,46.02927303965885,0.7773589156970436,9989.751992740774,-0.10248007259226143,1,2,3
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,34,2026-03-19 09:15:00+00:00,2026-04-05 17:50:00+00:00,2026-04-05 17:55:00+00:00,2026-04-09 05:10:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,4,4,-49.580641920000176,-12.395160480000044,0.0,0.0,49.580641920000176,0.0,9950.419358079998,-0.49580641920001656,0,4,0
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,34,2026-03-19 09:15:00+00:00,2026-04-05 17:50:00+00:00,2026-04-05 17:55:00+00:00,2026-04-09 05:10:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,11,11,11.497946357760497,1.0452678507054998,27.27272727272727,62.67842827776042,51.18048191999992,1.2246549060583858,10011.497946357757,0.11497946357756517,2,8,1
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,35,2026-03-22 20:35:00+00:00,2026-04-09 05:10:00+00:00,2026-04-09 05:15:00+00:00,2026-04-12 16:30:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,10,5,-15.728882444727105,-3.145776488945421,20.0,3.7521882791359076,19.481070723863013,0.19260688143489604,9984.271117555272,-0.15728882444727788,0,1,4
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,35,2026-03-22 20:35:00+00:00,2026-04-09 05:10:00+00:00,2026-04-09 05:15:00+00:00,2026-04-12 16:30:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,11,5,-15.728882444727219,-3.145776488945444,20.0,3.7521882791359076,19.481070723863127,0.1926068814348949,9984.271117555272,-0.15728882444727788,0,1,4
