symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,train_short_sma,train_long_sma,train_rsi_buy_threshold,train_use_macd_filter,train_tp_rate,train_sl_rate,train_lookahead_steps,train_reward_risk,train_signal_count,train_trade_count,train_total_pnl,train_avg_pnl,train_win_rate,train_gross_profit,train_gross_loss,train_profit_factor,train_final_equity,train_total_return,train_take_profit_count,train_stop_loss_count,train_time_exit_count,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,34,2026-03-19 09:15:00+00:00,2026-04-05 17:50:00+00:00,2026-04-05 17:55:00+00:00,2026-04-09 05:10:00+00:00,total_pnl,10,50,50.0,True,0.01,0.008,48,1.25,62,53,55.45721739389978,1.0463625923377318,50.943396226415096,207.88661906981486,152.42940167591507,1.363822312389634,10055.457217393916,0.5545721739391593,22,14,17,10,50,50.0,True,0.01,0.008,48,1.25,13,10,-18.261742599461854,-1.8261742599461854,40.0,28.297664673557733,46.55940727301959,0.6077754492797369,9981.738257400539,-0.18261742599461284,3,5,2
SOLUSDT,5m,35,2026-03-22 20:35:00+00:00,2026-04-09 05:10:00+00:00,2026-04-09 05:15:00+00:00,2026-04-12 16:30:00+00:00,total_pnl,8,50,55.0,True,0.03,0.01,48,3.0,56,47,54.07826443983981,1.1506013710604215,44.680851063829785,245.2071968027327,191.1289323628929,1.2829412782841398,10054.078264439833,0.5407826443983321,5,14,28,8,50,55.0,True,0.03,0.01,48,3.0,10,10,-19.04484707455731,-1.904484707455731,40.0,24.847494556017068,43.89234163057438,0.5661009103854437,9980.955152925442,-0.19044847074557766,0,3,7
SOLUSDT,5m,36,2026-03-26 07:55:00+00:00,2026-04-12 16:30:00+00:00,2026-04-12 16:35:00+00:00,2026-04-16 03:50:00+00:00,total_pnl,5,100,65.0,True,0.03,0.01,96,3.0,24,21,49.85773770098831,2.374177985761348,47.61904761904761,144.89164171328707,95.03390401229876,1.5246310589801297,10049.857737700984,0.49857737700984217,2,7,12,5,100,65.0,True,0.03,0.01,96,3.0,5,4,-25.161321313584722,-6.2903303283961804,0.0,0.0,25.161321313584722,0.0,9974.838678686414,-0.2516132131358609,0,2,2
SOLUSDT,5m,37,2026-03-29 19:15:00+00:00,2026-04-16 03:50:00+00:00,2026-04-16 03:55:00+00:00,2026-04-19 15:10:00+00:00,total_pnl,8,30,50.0,True,0.03,0.015,72,2.0,85,46,120.46439379304718,2.6187911694140693,47.82608695652174,301.4713998042728,181.0070060112256,1.6655233764022166,10120.464393793038,1.2046439379303775,6,7,33,8,30,50.0,True,0.03,0.015,72,2.0,18,9,4.761864399614751,0.529096044401639,44.44444444444444,63.137790340263564,58.37592594064881,1.0815724003154343,10004.761864399614,0.04761864399613842,1,2,6
SOLUSDT,5m,38,2026-04-02 06:35:00+00:00,2026-04-19 15:10:00+00:00,2026-04-19 15:15:00+00:00,2026-04-23 02:30:00+00:00,total_pnl,5,100,60.0,True,0.03,0.015,96,2.0,35,23,126.40242085695309,5.495757428563178,56.52173913043478,203.07694396902752,76.67452311207444,2.6485582919399686,10126.402420856954,1.2640242085695355,3,3,17,5,100,60.0,True,0.03,0.015,96,2.0,6,4,15.322312292922902,3.8305780732307255,50.0,35.852547917117136,20.530235624194233,1.7463291008148996,10015.322312292923,0.15322312292923015,1,1,2
SOLUSDT,5m,39,2026-04-05 17:55:00+00:00,2026-04-23 02:30:00+00:00,2026-04-23 02:35:00+00:00,2026-04-26 13:50:00+00:00,total_pnl,5,100,60.0,True,0.03,0.015,96,2.0,32,21,142.65495825597316,6.793093250284436,52.38095238095239,215.60254198151404,72.94758372554088,2.9555816789312774,10142.654958255973,1.426549582559728,5,3,13,5,100,60.0,True,0.03,0.015,96,2.0,6,4,-11.262913516501158,-2.8157283791252894,50.0,10.07909176220187,21.342005278703027,0.4722654516564896,9988.7370864835,-0.11262913516500704,0,1,3
SOLUSDT,5m,40,2026-04-09 05:15:00+00:00,2026-04-26 13:50:00+00:00,2026-04-26 13:55:00+00:00,2026-04-30 01:10:00+00:00,total_pnl,12,100,55.0,True,0.015,0.008,72,1.875,33,27,109.01983543734525,4.037771682864639,62.96296296296296,178.96050533005223,69.94066989270698,2.558747372660113,10109.019835437352,1.0901983543735152,12,7,8,12,100,55.0,True,0.015,0.008,72,1.875,3,3,-4.67526256405381,-1.5584208546846032,66.66666666666666,4.514780315946155,9.190042879999964,0.4912686888296839,9995.324737435945,-0.0467526256405472,0,1,2
SOLUSDT,5m,41,2026-04-12 16:35:00+00:00,2026-04-30 01:10:00+00:00,2026-04-30 01:15:00+00:00,2026-05-03 12:30:00+00:00,total_pnl,10,80,65.0,True,0.01,0.012,96,0.8333333333333334,26,22,102.94447229413652,4.679294195188024,81.81818181818183,135.7819407443975,32.837468450260985,4.134969812002007,10102.944472294144,1.0294447229414436,14,2,6,10,80,65.0,True,0.01,0.012,96,0.8333333333333334,4,3,9.377665633547736,3.1258885445159117,66.66666666666666,9.390094935817956,0.012429302270220433,755.4804551109709,10009.377665633549,0.09377665633548532,1,0,2
SOLUSDT,5m,42,2026-04-16 03:55:00+00:00,2026-05-03 12:30:00+00:00,2026-05-03 12:35:00+00:00,2026-05-06 23:50:00+00:00,total_pnl,10,80,65.0,True,0.01,0.012,96,0.8333333333333334,27,22,94.24248101625119,4.283749137102327,77.27272727272727,127.0923787687824,32.849897752531206,3.8688820198531504,10094.24248101626,0.9424248101625926,13,2,7,10,80,65.0,True,0.01,0.012,96,0.8333333333333334,4,4,3.7526516166648207,0.9381629041662052,50.0,17.57672720000005,13.82407558333523,1.2714576894522047,10003.752651616665,0.037526516166653895,2,1,1
SOLUSDT,5m,43,2026-04-19 15:15:00+00:00,2026-05-06 23:50:00+00:00,2026-05-06 23:55:00+00:00,2026-05-10 11:10:00+00:00,total_pnl,10,80,65.0,True,0.01,0.012,96,0.8333333333333334,24,20,67.23855895291615,3.3619279476458077,70.0,100.72728796878243,33.488729015866284,3.007796680520777,10067.238558952922,0.6723855895292218,10,2,8,10,80,65.0,True,0.01,0.012,96,0.8333333333333334,8,7,14.38762031921965,2.055374331317093,57.14285714285714,35.1534544000001,20.76583408078045,1.6928505863646444,10014.387620319221,0.14387620319221242,4,1,2
