symbol,timeframe,tp_rate,sl_rate,lookahead_steps,reward_risk,entry_count,tp_count,sl_count,time_exit_count,tp_rate_pct,sl_rate_pct,time_exit_rate_pct,avg_gross_return,avg_net_return,trade_count,total_pnl,avg_pnl,win_rate,profit_factor,final_equity,total_return,sim_tp_count,sim_sl_count,sim_time_exit_count
BTCUSDT,5m,0.008,0.004,12,2.0,51571,4574,15113,31884,8.86932578387078,29.30522968334917,61.82544453278005,-7.86002286683243e-06,-0.0012078600228668324,5230,-6111.935656108154,-1.1686301445713487,32.638623326959845,0.5083149201027704,3888.064343892123,-61.11935656107876,636,1814,2780
BTCUSDT,5m,0.004,0.004,24,1.0,51571,18198,19257,14116,35.28727385546141,37.34075352426752,27.371972620271084,-5.769628211675339e-05,-0.0012576962821167533,5112,-6179.140472546996,-1.2087520486203043,45.95070422535211,0.5015778695281459,3820.8595274529803,-61.7914047254702,2174,2185,753
BTCUSDT,5m,0.004,0.008,12,0.5,51571,14683,4616,32272,28.47142774039673,8.950766903880087,62.57780535572318,-1.880349249424728e-05,-0.0012188034924942473,5192,-6260.505914831749,-1.2057985198058068,43.740369799691834,0.4611982919960884,3739.494085168094,-62.605059148319064,1765,617,2810
BTCUSDT,5m,0.01,0.003,12,3.3333333333333335,51571,2541,20586,28444,4.927187760563108,39.917783250276315,55.15502898916057,-3.7596159415411783e-06,-0.001203759615941541,5576,-6487.634866819804,-1.1634926231742835,28.891678622668582,0.4906992662841,3512.365133179902,-64.87634866820098,379,2542,2655
BTCUSDT,5m,0.004,0.006,12,0.6666666666666666,51571,14347,7730,29494,27.819898780322273,14.989044230284462,57.19105698939326,-2.0992323773199188e-05,-0.0012209923237731992,5546,-6525.018593769615,-1.1765269732725596,43.310494049765595,0.4689474268913872,3474.981406230456,-65.25018593769543,1913,1057,2576
BTCUSDT,5m,0.006,0.004,12,1.5,51571,7559,14811,29201,14.657462527389425,28.71962924899653,56.62290822361405,-2.043327298530608e-05,-0.001220433272985306,5536,-6622.56008959882,-1.196271692485336,34.68208092485549,0.48722949012993766,3377.4399104013896,-66.2256008959861,1060,1919,2557
BTCUSDT,5m,0.008,0.003,12,2.6666666666666665,51571,4191,20465,26915,8.126660332357332,39.683155261678074,52.19018440596459,-5.582694515274639e-06,-0.0012055826945152745,5772,-6720.784366984701,-1.1643770559571553,29.66042966042966,0.4894636526751343,3279.215633015123,-67.20784366984877,648,2643,2481
BTCUSDT,5m,0.004,0.003,24,1.3333333333333333,51571,16494,24093,10984,31.983091272226638,46.718116771053495,21.29879195671986,-4.013334273011234e-05,-0.0012401333427301123,5984,-7230.933974837283,-1.208378003816391,40.77540106951872,0.47366687510257466,2769.0660251623412,-72.30933974837659,2283,3123,578
BTCUSDT,5m,0.006,0.003,12,2.0,51571,6955,20138,24478,13.486261658684146,39.04907797017704,47.46466037113882,-1.9635073673055386e-05,-0.0012196350736730552,6125,-7244.202828633195,-1.1827269924299093,31.86938775510204,0.47199611540946235,2755.7971713666093,-72.44202828633391,1080,2774,2271
BTCUSDT,5m,0.004,0.004,12,1.0,51571,13451,14007,24113,26.08248822012371,27.16061352310407,46.75689825677222,-3.492159829800999e-05,-0.0012349215982980098,6283,-7545.873638139955,-1.2009985099697524,40.39471590004774,0.4494809394286845,2454.1263618601242,-75.45873638139877,2050,2061,2172
BTCUSDT,5m,0.004,0.003,12,1.3333333333333333,51571,12526,19176,19869,24.288844505633012,37.1836885071067,38.52746698726028,-3.146168619389769e-05,-0.0012314616861938976,7002,-8326.9729339206,-1.1892277826221938,37.36075407026564,0.43430977894120426,1673.0270660791375,-83.26972933920862,2138,3016,1848
BTCUSDT,5m,0.01,0.006,6,1.6666666666666667,51571,1327,4469,45775,2.5731515774369313,8.66572298384751,88.76112543871557,9.67532307588617e-06,-0.0011903246769241138,7724,-9185.396384136846,-1.1892020176251743,29.906784049715174,0.3859169316127839,814.6036158632594,-91.8539638413674,239,774,6711
BTCUSDT,5m,0.01,0.008,6,1.25,51571,1353,2439,47779,2.6235675088712647,4.729402183397646,92.64703030773109,4.727259206347784e-06,-0.0011952727407936522,7561,-9186.278291391445,-1.2149554677147791,29.65216241237931,0.37478905851095445,813.7217086086396,-91.8627829139136,231,414,6916
