symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,signal_count,trade_count,win_count,loss_count,win_rate,total_pnl,avg_pnl,final_equity,total_return,take_profit_count,stop_loss_count,time_exit_count,profit_factor
BTCUSDT,5m,RandomForest,0.1,5,3000,500,2025-11-25 00:35:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-07 04:10:00+00:00,0.902,0.05714285714285714,0.1111111111111111,0.07547169811320754,330,37,10,27,27.027027027027028,-60.04184267592814,-1.6227525047548146,9939.958157324072,-0.6004184267592791,1,3,33,0.28969110393803926
BTCUSDT,5m,RandomForest,0.12,5,3000,500,2025-11-25 00:35:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-07 04:10:00+00:00,0.902,0.05714285714285714,0.1111111111111111,0.07547169811320754,301,37,10,27,27.027027027027028,-58.555996507784926,-1.5825945002104034,9941.444003492215,-0.5855599650778458,1,3,33,0.30782909406828357
BTCUSDT,5m,RandomForest,0.15,5,3000,500,2025-11-25 00:35:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-07 04:10:00+00:00,0.902,0.05714285714285714,0.1111111111111111,0.07547169811320754,259,35,10,25,28.57142857142857,-53.46699972038266,-1.5276285634395046,9946.53300027962,-0.5346699972038005,1,3,31,0.33335430590782716
BTCUSDT,5m,RandomForest,0.2,5,3000,500,2025-11-25 00:35:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-07 04:10:00+00:00,0.902,0.05714285714285714,0.1111111111111111,0.07547169811320754,203,33,9,24,27.27272727272727,-57.26646370499611,-1.7353473849998822,9942.733536295003,-0.5726646370499657,1,3,29,0.3200764311333859
BTCUSDT,5m,RandomForest,0.3,5,3000,500,2025-11-25 00:35:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-07 04:10:00+00:00,0.902,0.05714285714285714,0.1111111111111111,0.07547169811320754,128,27,8,19,29.629629629629626,-46.162543028843515,-1.7097238158830932,9953.837456971161,-0.4616254302883862,1,3,23,0.34027181042307697
BTCUSDT,5m,RandomForest,0.05,6,3000,500,2025-11-26 18:15:00+00:00,2025-12-07 04:10:00+00:00,2025-12-07 04:15:00+00:00,2025-12-08 21:50:00+00:00,0.774,0.1523809523809524,0.4,0.2206896551724138,475,42,19,23,45.23809523809524,-44.26734835230775,-1.053984484578756,9955.73265164769,-0.4426734835231036,3,5,34,0.5765053773442776
BTCUSDT,5m,RandomForest,0.08,6,3000,500,2025-11-26 18:15:00+00:00,2025-12-07 04:10:00+00:00,2025-12-07 04:15:00+00:00,2025-12-08 21:50:00+00:00,0.774,0.1523809523809524,0.4,0.2206896551724138,436,41,19,22,46.34146341463415,-33.36303537189008,-0.8137325700460994,9966.636964628113,-0.3336303537188724,3,5,33,0.64994890496005
BTCUSDT,5m,RandomForest,0.1,6,3000,500,2025-11-26 18:15:00+00:00,2025-12-07 04:10:00+00:00,2025-12-07 04:15:00+00:00,2025-12-08 21:50:00+00:00,0.774,0.1523809523809524,0.4,0.2206896551724138,407,41,19,22,46.34146341463415,-21.96409045626615,-0.5357095233235646,9978.035909543734,-0.21964090456265692,3,4,34,0.7466833852746214
BTCUSDT,5m,RandomForest,0.12,6,3000,500,2025-11-26 18:15:00+00:00,2025-12-07 04:10:00+00:00,2025-12-07 04:15:00+00:00,2025-12-08 21:50:00+00:00,0.774,0.1523809523809524,0.4,0.2206896551724138,372,39,14,25,35.8974358974359,-31.58661672032099,-0.8099132492389998,9968.41338327968,-0.3158661672032031,3,5,31,0.6552806859787761
BTCUSDT,5m,RandomForest,0.15,6,3000,500,2025-11-26 18:15:00+00:00,2025-12-07 04:10:00+00:00,2025-12-07 04:15:00+00:00,2025-12-08 21:50:00+00:00,0.774,0.1523809523809524,0.4,0.2206896551724138,335,37,16,21,43.24324324324324,-30.21637764103866,-0.816658855163207,9969.783622358957,-0.3021637764104344,3,5,29,0.6503950558627785
BTCUSDT,5m,RandomForest,0.2,6,3000,500,2025-11-26 18:15:00+00:00,2025-12-07 04:10:00+00:00,2025-12-07 04:15:00+00:00,2025-12-08 21:50:00+00:00,0.774,0.1523809523809524,0.4,0.2206896551724138,295,35,15,20,42.857142857142854,-28.145288322315537,-0.8041510949233011,9971.854711677686,-0.28145288322313716,3,5,27,0.6584407573998936
